Fylke;Kommune;Vb,0;omrade
Akershus;Asker;22;1
Akershus;Aurskog-Høland;22;1
Akershus;Bærum;22;1
Akershus;Eidsvoll;22;1
Akershus;Enebakk;22;1
Akershus;Fet;22;1
Akershus;Frogn;22;1
Akershus;Gjerdrum;22;1
Akershus;Hurdal;22;1
Akershus;Lørenskog;22;1
Akershus;Nannestad;22;1
Akershus;Nes;22;1
Akershus;Nesodden;22;1
Akershus;Nittedal;22;1
Akershus;Oppegård;22;1
Akershus;Rælingen;22;1
Akershus;Skedsmo;22;1
Akershus;Ski;22;1
Akershus;Sørum;22;1
Akershus;Ullensaker;22;1
Akershus;Ås;22;1
Akershus;Vestby;24;1
;;;
Aust-Agder;Arendal;26;1
Aust-Agder;Birkenes;24;1
Aust-Agder;Bygland;24;1
Aust-Agder;Bykle;24;1
Aust-Agder;Evje og Hornnes;24;1
Aust-Agder;Froland;24;1
Aust-Agder;Gjerstad;24;1
Aust-Agder;Grimstad;26;1
Aust-Agder;Iveland;24;1
Aust-Agder;Lillesand;26;1
Aust-Agder;Risør;26;1
Aust-Agder;Tvedestrand;26;1
Aust-Agder;Valle;24;1
Aust-Agder;Vegårshei;24;1
Aust-Agder;Åmli;24;1
;;;
Buskerud;Drammen;22;1
Buskerud;Flå;22;1
Buskerud;Flesberg;22;1
Buskerud;Gol;22;1
Buskerud;Hemsedal;24;1
Buskerud;Hol;24;1
Buskerud;Hole;22;1
Buskerud;Hurum;24;1
Buskerud;Kongsberg;22;1
Buskerud;Krødsherad;22;1
Buskerud;Lier;22;1
Buskerud;Modum;22;1
Buskerud;Nedre Eiker;22;1
Buskerud;Nes;22;1
Buskerud;Nore og Uvdal;24;1
Buskerud;Ringerike;22;1
Buskerud;Rollag;22;1
Buskerud;Røyken;22;1
Buskerud;Sigdal;22;1
Buskerud;Øvre Eiker;22;1
Buskerud;Ål;24;1
;;;
Finnmark;Alta;28;3
Finnmark;Alta;28;3
Finnmark;Båtsfjord;29;3
Finnmark;Berlevåg;30;3
Finnmark;Deatnu Tana;27;3
Finnmark;Gamvik;30;3
Finnmark;Hammerfest;29;3
Finnmark;Hasvik;30;3
Finnmark;Karasjok;24;3
Finnmark;Kautokeino;24;3
Finnmark;Kirkenes;29;3
Finnmark;Kvalsund;29;3
Finnmark;Lebesby;29;3
Finnmark;Loppa;29;3
Finnmark;Måsøy;30;3
Finnmark;Nesseby;27;3
Finnmark;Nordkapp;30;3
Finnmark;Porsanger;27;3
Finnmark;Sør-Varanger;29;3
Finnmark;Tana;27;3
Finnmark;Vadsø;29;3
Finnmark;Vardø;30;3
;;;
Hedmark;Alvdal;24;1
Hedmark;Eidskog;22;1
Hedmark;Elverum;22;1
Hedmark;Engerdal;22;1
Hedmark;Folldal;24;1
Hedmark;Grue;22;1
Hedmark;Hamar;22;1
Hedmark;Kongsvinger;22;1
Hedmark;Løten;22;1
Hedmark;Nord-Odal;22;1
Hedmark;Os;24;1
Hedmark;Rendalen;22;1
Hedmark;Ringsaker;22;1
Hedmark;Stange;22;1
Hedmark;Stor-Elvdal;22;1
Hedmark;Sør-Odal;22;1
Hedmark;Tolga;24;1
Hedmark;Trysil;22;1
Hedmark;Tynset;24;1
Hedmark;Våler;22;1
Hedmark;Kvikne;22;1
Hedmark;Åmot;22;1
Hedmark;Åsnes;22;1
;;;
Hordaland;Askøy;26;1
Hordaland;Austevoll;28;1
